,file_name,buggy_src_file,test_bench,eval_script,orig_file,proj_dir,oracle,simple_bug_description,simulation_output,simulation_input,AST,mismatch_list,fault_localization,bug_type,bug_description
0,decoder_3_to_8_wadden_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/decoder_3_to_8/decoder_3_to_8_wadden_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/decoder_3_to_8/decoder_3_to_8_tb_t1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/decoder_3_to_8/run.sh,decoder_3_to_8.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/decoder_3_to_8/,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/decoder_3_to_8/oracle.txt,Two separate numeric errors,,,,,,,Two separate numeric errors
1,decoder_3_to_8_wadden_buggy2.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/decoder_3_to_8/decoder_3_to_8_wadden_buggy2.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/decoder_3_to_8/decoder_3_to_8_tb_t1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/decoder_3_to_8/run.sh,decoder_3_to_8.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/decoder_3_to_8/,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/decoder_3_to_8/oracle.txt,Incorrect assignment,,,,,,,Incorrect assignment
2,first_counter_overflow_wadden_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/first_counter_overflow/first_counter_overflow_wadden_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/first_counter_overflow/first_counter_tb_t3.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/first_counter_overflow/run.sh,first_counter_overflow.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/first_counter_overflow/,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/first_counter_overflow/oracle.txt,counter Incorrect sensitivity list ,,,,,,,counter Incorrect sensitivity list 
3,first_counter_overflow_wadden_buggy2.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/first_counter_overflow/first_counter_overflow_wadden_buggy2.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/first_counter_overflow/first_counter_tb_t3.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/first_counter_overflow/run.sh,first_counter_overflow.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/first_counter_overflow/,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/first_counter_overflow/oracle.txt,Else-if instead of if,,,,,,,Else-if instead of if
4,first_counter_overflow_kgoliya_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/first_counter_overflow/first_counter_overflow_kgoliya_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/first_counter_overflow/first_counter_tb_t3.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/first_counter_overflow/run.sh,first_counter_overflow.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/first_counter_overflow/,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/first_counter_overflow/oracle.txt,Counter never reset,,,,,,,Counter never reset
5,tff_wadden_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/flip_flop/tff_wadden_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/flip_flop/tff_tb.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/flip_flop/run.sh,tff.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/flip_flop,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/flip_flop/oracle.txt,Negated if-condition,,,,,,,Negated if-condition
6,tff_wadden_buggy2.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/flip_flop/tff_wadden_buggy2.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/flip_flop/tff_tb.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/flip_flop/run.sh,tff.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/flip_flop,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/flip_flop/oracle.txt,Branches of if-statement swapped ,,,,,,,Branches of if-statement swapped 
7,fsm_full_wadden_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/fsm_full/fsm_full_wadden_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/fsm_full/fsm_full_tb_t1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/fsm_full/run.sh,fsm_full.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/fsm_full/,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/fsm_full/oracle.txt,Default in case statement omitted,,,,,,,Default in case statement omitted
8,fsm_full_wadden_buggy2.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/fsm_full/fsm_full_wadden_buggy2.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/fsm_full/fsm_full_tb_t1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/fsm_full/run.sh,fsm_full.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/fsm_full/,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/fsm_full/oracle.txt,"Assignment to next state omitted, default cases in case statement omitted",,,,,,,"Assignment to next state omitted, default cases in case statement omitted"
9,fsm_full_ssscrazy_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/fsm_full/fsm_full_ssscrazy_buggy1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/fsm_full/fsm_full_tb_t1.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/fsm_full/run.sh,fsm_full.v,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/fsm_full/,/Automatic_Repair_LLM/cirfix_benchmarks_code/benchmarks/fsm_full/oracle.txt,"Assignment to next state omitted, state omitted from senslist",,,,,,,"Assignment to next state omitted, state omitted from senslist"
